symbol,avg_sentiment,mention_count,bullish_ratio,total_score,timeframe_days
FUN,0.6849666666666666,24,0.9166666666666666,349,1
FUND,0.527734,100,0.77,278,1
G,0.41854,5,0.6,6,1
GAIN,0.6441125,72,0.9166666666666666,1502,1
GAME,0.27645555555555557,45,0.6222222222222222,2876,1
GAN,0.9723,1,1.0,2,1
GAP,0.17965000000000003,28,0.4642857142857143,5544,1
GATE,0.6775,2,1.0,2,1
GCTK,0.21456692913385828,127,0.4409448818897638,833,1
GE,-0.7717,1,0.0,1,1
GEN,-0.016699999999999993,4,0.25,13,1
GENE,0.3818,1,1.0,18,1
GENI,0.42145,2,1.0,3,1
GET,0.28750643889618926,761,0.6425755584756899,10302,1
GEVO,0.0,1,0.0,1,1
GIFT,0.30783333333333335,3,1.0,235,1
GIG,0.0,2,0.0,4,1
GIL,0.8674,1,1.0,8,1
GILT,0.217,1,1.0,1,1
GL,0.52225,6,1.0,66,1
GLAD,0.5826925000000001,40,0.925,136,1
GM,0.33604999999999996,2,1.0,3,1
GME,0.3519333333333333,9,0.6666666666666666,14,1
GO,0.2274325278810409,538,0.5613382899628253,12874,1
GOLD,0.3751081632653061,49,0.7142857142857143,215,1
GOOD,0.5570781466113416,723,0.8769017980636238,17272,1
GOOG,0.23651818181818182,11,0.6363636363636364,68,1
GOOGL,0.7690875,8,1.0,18,1
GORO,0.08312,65,0.3384615384615385,85,1
GRAB,0.1274,10,0.3,27,1
GROV,0.4311,2,0.5,3,1
GROW,0.5546509803921569,51,0.8431372549019608,1390,1
GRRR,0.14634999999999998,2,0.5,2,1
GSAT,0.4527333333333334,3,0.6666666666666666,8,1
GYRO,0.6369,1,1.0,9,1
HAS,0.4263962868117797,781,0.7208706786171575,21993,1
HDB,0.7778,1,1.0,23,1
HE,0.15446492537313433,536,0.539179104477612,5727,1
HES,0.17334,10,0.4,128,1
HI,0.679932,25,0.84,48,1
HIT,0.29752333333333336,90,0.6111111111111112,910,1
HIVE,-0.4703,1,0.0,26,1
HODL,0.29655,6,0.5,15,1
HOLO,0.0,3,0.0,-1,1
HONE,0.3127,2,0.5,7,1
HOOD,-0.05135,2,0.0,96,1
HOOK,-0.6042666666666666,3,0.0,7,1
HOPE,0.61597734375,128,0.9453125,8667,1
HOTH,0.47009999999999996,4,0.5,11,1
HOUR,0.170285,20,0.45,99,1
HOVR,0.0,1,0.0,1,1
HSBC,-0.31930000000000003,2,0.0,17,1
HUBS,-0.7992,1,0.0,6,1
HUN,0.0,1,0.0,1,1
HY,0.0,1,0.0,1,1
IBKR,0.37633333333333335,6,0.6666666666666666,11,1
IBM,0.3685913043478261,23,0.782608695652174,165,1
IBRX,0.3612,1,1.0,0,1
ICAD,0.0,1,0.0,1,1
ID,0.24393571428571428,14,0.6428571428571429,-4,1
IE,0.4730666666666667,3,0.6666666666666666,3,1
IFS,0.5207666666666667,3,0.6666666666666666,97,1
III,0.8070999999999999,2,1.0,3,1
IIPR,0.5138666666666667,6,1.0,33,1
IMG,0.9997,2,1.0,0,1
IMO,0.3318928571428571,14,0.7857142857142857,50,1
IMRX,0.10115,4,0.5,3,1
INBS,0.3036,1,1.0,2,1
ING,0.8545,1,1.0,2,1
INO,0.8205,1,1.0,3,1
INTC,0.19771153846153844,26,0.6923076923076923,544,1
INUV,0.2732,1,1.0,4,1
INVZ,0.576025,8,0.75,33,1
IONQ,0.21864418604651162,43,0.5813953488372093,4376,1
IONS,-0.34603333333333336,3,0.3333333333333333,3,1
IOT,0.6113,4,1.0,7,1
IP,0.6451571428571429,7,1.0,63,1
IPWR,0.9918,1,1.0,1,1
IQ,0.2605,3,0.6666666666666666,16,1
IRON,0.3919,1,1.0,6,1
IRS,-0.09566666666666664,6,0.5,21,1
IRT,0.3164,1,1.0,0,1
ISO,0.9876,1,1.0,8,1
IT,0.33289551053928274,3653,0.654530522857925,85955,1
ITP,0.0,1,0.0,0,1
ITRM,-0.1531,1,0.0,1,1
J,-0.09376666666666666,3,0.6666666666666666,3,1
JACK,-0.15969999999999998,6,0.3333333333333333,6,1
JBDI,0.14293333333333333,3,0.3333333333333333,11,1
JD,0.89805,4,1.0,2,1
JFBR,0.81,1,1.0,0,1
JG,0.0,1,0.0,213,1
JOB,0.4347785714285714,70,0.7285714285714285,809,1
JOBY,0.6124,2,1.0,10,1
JOE,0.042666666666666665,3,0.3333333333333333,33,1
JPM,0.2702,3,0.3333333333333333,56,1
JUNE,0.35269000000000006,10,0.6,44,1
K,-0.1186,3,0.0,3,1
KBH,-0.2382,1,0.0,1,1
KEY,0.7719920634920635,63,0.9206349206349206,350,1
KIDS,0.31354615384615386,13,0.6153846153846154,2540,1
KIND,0.39930000000000004,93,0.6989247311827957,928,1
KITT,0.48255,2,0.5,3,1
KKR,0.0,1,0.0,54,1
KLAC,-0.4526,1,0.0,5,1
KNW,0.4232,4,0.75,7,1
KULR,0.17466363636363638,33,0.36363636363636365,170,1
KURA,-0.4019,1,0.0,1,1
L,0.7529857142857143,7,1.0,44,1
LAB,-0.15944999999999998,2,0.5,13,1
LAES,0.31020000000000003,5,0.6,62,1
LAKE,0.87652,5,1.0,106,1
LAND,0.53394,5,0.8,33,1
LASE,-0.7287,2,0.0,2,1
LAW,0.275355,20,0.5,-12,1
LE,0.0,1,0.0,2,1
LEE,0.0,1,0.0,23,1
LEG,0.5374285714285715,7,0.8571428571428571,13,1
LGHL,0.0,1,0.0,2,1
LIDR,0.6249,1,1.0,5,1
LINE,0.2978756097560976,41,0.7073170731707317,249,1
LINK,0.47175882352941173,17,0.6470588235294118,5317,1
LION,0.3818,1,1.0,2,1
LITM,0.32180000000000003,3,0.3333333333333333,7,1
LIVE,0.4924421875,64,0.78125,3356,1
LLY,0.68655,4,1.0,6,1
LMT,0.4712,1,1.0,0,1
LNG,0.9508,1,1.0,1,1
LNKS,0.125,2,0.5,1,1
LOAN,0.6152722222222222,18,0.8888888888888888,22,1
LODE,0.23923157894736843,57,0.7368421052631579,-173,1
LOOP,0.12313333333333336,6,0.5,434,1
LOT,0.3304912727272727,275,0.6727272727272727,2910,1
LOVE,0.7091255102040815,98,0.9387755102040817,6460,1
LOW,0.3020858757062147,177,0.6497175141242938,1814,1
LPSN,0.03453333333333333,9,0.2222222222222222,41,1
LRCX,-0.4526,1,0.0,5,1
LTRX,0.0979625,8,0.25,23,1
